vynikající	brilliant
zaneprázdněný	busy
šálek, hrneček	cup
udělat špatně	do wrong
brzo	early
výsledky zkoušky	exam results
práce, zaměstnání	job
nože a vidličky	knives and forks
pozdě (do/na)	late (for)
jídlo	meal
místo	place
talíř	plate
posílat sms zprávy	text
vařit večeři	cook the dinner
nakupovat	do the shopping
krmit kočku	feed the cat
dát nádobí do myčky	load the dishwasher
ustlat postel	make the bed
prostřít stůl	set the table
vynést tříděný odpad	take/put out the recycling
vyvenčit psa	take the dog for walk
uklidit svůj pokoj	tidy your room
vyluxovat podlahu	vacuum the floor
vždycky	always
nikdy	never
ne často	not often
často	often
někdy	sometimes
obvykle, normálně	usually
podzim	autumn
začátek	beginning
bochánek	bun
čokoládové vajíčko	chocolate egg
sejít se	come together
ozdobit, vyzdobit	decorate
ozdoba, dekorace	decoration
svátek	festival
ohňostroj	fireworks
následovaný (čím)	followed by
jít nakupovat	go shopping
prázdniny uprostřed semestru(pololetí)	half-term holiday
schovat	hide
Jak dlouho?	How long?
hledání, hon	hunt
uprostřed (čeho)	in the middle of
trvat	last
sportovní zápas/přiřadit, spojit	match
půlnoc	midnight
hudba	music
další, následující	next
rozvěsit, vystavit	put up
výprodej	sale
několik	several
jaro	spring
oslava v ulicích	street party
odbít půlnoc	strike midnight
sladký	sweet
zapnout	switch on
semestr, pololetí	term
tradiční	traditional
krocan, krůta	turkey
typický	typical
zelenina	vegetable
navštívit	visit
