jít s	come with
nora, doupě	den
dolů	down
spadnout	fall
dvůr farmy/statku	farmyard
Následujte mě./Pojďte za mnou.	Folow me.
muset	must
ořech	nut
Ó Bože, ó ne.	Oh dear.
rybník	pond
odnést odpadky	put out the rubbish
silnice	road
strana	side
obloha	sky
zastavit (se)	stop
najednou	suddenly
říci	tell
vesnice	village
mýt nádobí	wash up
cesta	way
zatímco	while
manželka	wife
manželky	wives
mimo, kromě	apart from
medvěd	bear
pozorování ptáků	bird-watching
stavět, postavit	build
budova	building
motýl	butterfly
vyjít ven, vylézat ven	come out
běžný	common
venkov	countryside
vysoká zvěř	deer
zmizet	disappear
utéct, uniknout	escape
zahradník	gardener
vláda	government
ježek	hedgehog
v ohrožení	in danger
strhnout, zbourat	knock down
velký	large
místní	local
zmínit se	mention
většina	most
samozřejmě	of course
sova	owl
panter	panther
odstavec	paragraph
škůdce	pest
chránit	protect
žák/žákyně	pupil
vzácný	rare
restaurace	restaurant
safari park	safari park
jihozápad	south-west
veverka	squirrel
téma	topic
snažit se, zkoušet	try
klokan wallaby	wallaby
divoký, volně žijící	wild
vlk	wolf
vlci	wolves
