rozzlobený, naštvaný	angry
myčka aut	car wash
zavřít	close
vyzvednot(si)	collect
užívat si, bavit	enjoy
popadnout	grab
přistát	land
všimnout si	notice
zabalit	pack
telefonní hovor	phone call
zvednout, v zít	puck up
kapsa	pocket
seznam na nákup	shopping list
křičet	shout
někdo jiný	someone else
cestovat	travel
vybalit	unpack
chtít	want
letiště	airport
kemp, tábořiště	campsite
obytný přívěs	caravan
štítek, visačka	label
zavazadlo	luggage
cestující	passenger
cestovní pas	passport
letadlo	plane
batoh	rucksack
ranvej	runway
kufr	suitcase
stan	tent
jízdenka, letenka, lístek	ticket
vozík	trolley
