jablečný drobenkový koláč	apple crumble
vařit	boil
miska	bowl
posypat	cover
stupeň	degree
mělká zpékací mísa	dish
mouka	flour
smažit	fry
pánev na smažení	frying pan
strouhat	grate
gril	grill
přísada	ingredient
margarín	margarine
rozpustit, roztavit	melt
smíchat	mix
směs	mixture
trouba	oven
hrášek	peas
oloupat, oškrábat	peel
škrabka	peeler
nalít	pour
recept	recipe
omáčka	sauce
podávat	serve
zbytek	the rest
ocet	vinegar
velšské zapečené tousty se sýrem	Welsh rerabit
okolo, kolem	around
slanina	bacon
pečené fazole	baked beans
školní jídelna	canteen
cereálie	cereal
kari	curry
pudink	custard
