grep	grapefruit
med	honey
džem	jam
lasagne	lasagne
lehký	light
hlavní chod	main course
marmeláda	marmelade
poledne	midday
v dnešní době	nowadays
pudink, moučník	pudding
rizoto	risotto
takový jako / jako např.	such as
večeře	supper
vegetarián	vegetarian
avokádo	avocado
Aztékové	Aztecs
přinést	bring
chladný	cool
pěstovat, růst	grow
jazyk	language
kukuřice (m...)	maize
semínko	seed
rozšířit se	spread
kukuřice (s...)	sweetcorn
mokrý, vlhký	wet
zakroužkovat	circle
vystřihnout	cut out
balíček	parcel
plastový	plastic
rébus, hádanka	puzzle
okolo, kolem	round
míchat	stir
slavný šéfkuchař	celebrity chef
nahradit	replace
lepkavý	sticky
vyfotit	take a photo
karamela	toffee
