perfektní, dokonalý	perfect
nahrát	record
dálkové ovládání	remote control
opakovat (si)	revise
test	test
televize	TV set
kreslený film, komiks	cartoon
talk show, beseda	chat show
zábavní program	comedy programme
(filmový) dukument	documentary
pořad o přírodě	nature programme
film	film
policejní drama	police drama
kvíz, soutěž	quiz show
reality show	reality show
telenovela	soap opera
sportovní program	sports programme
zprávy	the news
Jsi v pořádku?	Are you all right?
pásek	belt
přikrývka, deka	blanket
dno	bottom
kufřík	briefcase
u	by
opatrně	carefully
počítačový čip	computer chip
zemřít	die
snadno, lehce	easily
nepřítel	enemy
motor	engine
šťastně	happily
tvrdý, tvrdě, silně	hard
hrozný, strašný	horrible
hrozně, strašně	horribly
představit si	imagine
zamknout	lock
hlasitý	loud
hlasitě	loudly
film	movie
táhnout	pull
rychlý	quick
rychle	quickly
tichý	quiet
tiše	quietly
reportér	reporter
smutný	sad
smutně	sadly
bezpečný	safe
bezpečně	safely
satelit	satellite
zachránit	save
sedadlo	seat
tajný	secret
potopit se	sink
pomalý	slow
pomalu	slowly
žaludek	stomach
náhlý	sudden
dobře	well
šeptat	whisper
